title,text,category, subcategory
"2022 Corporate Educational and Non-Broadcast Contract Ebook","Informational / Guide PDF","Corporate / Educational", " "
"12/21/22 Extension to the COVID-19 Co/Ed & Non-Broadcast Contract Production Safety & Testing Protocol Agreement","","Corporate / Educational", " 
"COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts","Informational / Guide PDF","Corporate / Educational", " "
"2022 Corporate-Educational & Non-Broadcast Print Campaign Waiver","This waiver allows a producer on a print campaign to compensate only profession performers for b-roll/behind-the-scenes footage. Informational / Guide PDF","Corporate / Educational", " "
"Corporate/Educational & Non-Broadcast Auto/Trade Show Waiver","Informational / Guide PDF","Corporate / Educational", " "
"2022 Atlanta Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Arizona-Utah Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Chicago Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Hawaii Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Michigan Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 New England Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Pacific-Northwest Regional Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Philadelphia Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 San Francisco-Northern California Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Texas Regional Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " " 
"2022 Twin Cities Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Washington-Mid Atlantic Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Commercials Contract Memorandum of Agreement","Effective 4/1/2022 - 3/31/2025. Informational / Guide PDF","Commercials", " "
"2023 Low Budget Digital Waiver (LBDW)","","Commercials", " "
"2024 Low Budget Digital Waiver (LBDW)","","Commercials", " "
"2022 National Cable Waiver","Informational / Guide PDF","Commercials", " "
"2022 Political Commercial Waiver","","Commercials", " "
"2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver","Informational / Guide PDF","Commercials", " "
"Diginet Waiver","This waiver allows for an additional payment option for the use of diginets under the 2019 Commercials Contract. Effective 1/1/2021 - 12/31/2021* *currently extended. Informational / Guide PDF","Commercials", " "
"2016 Commercials Contract E-Book","2016 SAG-AFTRA Commercials Contract in electronic format for Internet. Informational / Guide PDF","Commercials", " "
"2022 Influencer-Produced Sponsored Content Waiver","Effective 2021 ongoing. Informational / Guide PDF","Commercials", " "
"2022 Infomercial Agreement","Effective 4/1/2022 - 3/31/2025. Informational / Guide PDF","Commercials", " "
"2022 SAG-AFTRA Jingle Agreement","Effective 4/1/2019 - 3/31/2025. Fillable Document","Commercials", " "
"2019 Commercials Contract Memorandum of Agreement","Effective 4/1/2019 - 3/31/2022","Commercials", " "
"2019 Infomercial Agreement","Effective 4/1/2019 - 3/31/2022","Commercials", " "
"JPC & SAG-AFTRA Covid Modifications","Effective 12/5/2022","Commercials", " "
"Termination of the COVID-19 Commercial Production Safety and Testing Protocol Agreement","Effective 5/11/2023","Commercials", " "
"Extension to the COVID-19 Commercial Production Safety and Testing Protocol Agreement","Effective 12/21/2022","Commercials", " "
"Amended COVID‐19 Commercial Production Safety and Testing Protocols","Effective 9/1/2022","Commercials", " "
"Commercial Safety Protocols","As of 4/16/21","Commercials", " "
"COVID-19 Protocols for In-Person Commercial Auditions","Effective 9/9/2021","Commercials", " "
"2022 Audio Commercials Contract Memorandum of Agreement","Effective 4/1/2022 - 3/31/2025. Informational / Guide PDF","Commercials", " "
"Dynamic Audio Waiver","This waiver is applicable to dynamic audio commercials only. Dynamic audio advertising utilizes digital technology to create customized, audio-only ads, with elements of a commercial \"dynamically\" changed at the time of delivery to reflect the listener's specific circumstances, such as location, weather or time of day. Informational / Guide PDF","Commercials", " "
"Dynamic A.I. Audio Commercials Waiver","","Commercials", " "
"2016 Audio Commercials Contract E-Book","2016 SAG-AFTRA Commercials Contract in electronic format for Internet","Commercials", " "
"2019 Audio Commercials Contract Memorandum of Agreement","Effective 4/1/2019 - 3/31/2022","Commercials", " "
"Modified Dubbing Agreement","Agreement Covering dubbing of foreign language film into English","Dubbing", " "
"Spanish Language Modification (Dubbing) Agreement","Agreement covering dubbing of English language film into Spanish","Dubbing", " "
"Netflix Dubbing Agreement","Informational / Guide PDF","Dubbing", " "
"Negotiated Dubbing Employers Agreement","Informational / Guide PDF","Dubbing", " "
"Netflix Agreement MOA","","Dubbing", " "
"2024 Tiered-Budget Independent Interactive Media Agreement","","Interactive", " "
"2024 Independent Interactive Localization Agreement","","Interactive", " "
"Interim Interactive Media Agreement","","Interactive", " "
"2011-2014 AFTRA Interactive Media Agreement (base agreement)","","Interactive", " "
"2017 Interactive Media Memorandum of Agreement (2017 updates)","","Interactive", " "
"2020 Interactive Media Memorandum of Agreement (2020 updates)","","Interactive", " "
"2020 Interactive Localization Agreement","","Interactive", " "
"Interim Interactive Media Localization Agreement","","Interactive", " "
"2017 Music Video Agreement Memorandum","Informational / Guide PDF","Music Video", " "
"2012 Music Video Agreement","This is the master agreement for producers of music videos, detailing their responsibilities and acting as a standalone agreement for non-signatory companies.","Music Video", " "
"2021-2026 Sound Recordings Code MOA","Informational / Guide PDF","Sound Recordings", " "
"Sound Recordings Code Appendix on Artificial Intelligence","Informational / Guide PDF","Sound Recordings", " "
"2018-2020 Sound Recordings MOA","Informational / Guide PDF","Sound Recordings", " "
"2015-2017 Sound Recordings Code MOA","This is a memorandum of agreement which details additions and/or changes to our master Sound Recordings Agreement. Sample PDF","Sound Recordings", " "
"2010-2011 Sound Recordings Code Extension","This is an extension of our master Sound Recordings Agreement. Informational / Guide PDF","Sound Recordings", " "
"2012 Music Video Supplement to Sound Recordings Code","This is the supplement Music Video Agreement for signatories of the full Sound Recordings Code. Sample PDF","Sound Recordings", " "
"2012-2014 Sound Recordings Code MOA","This is a memorandum of agreement which details additions and/or changes to our master Sound Recordings Agreement. Sample PDF","Sound Recordings", " "
"2007-2010 Sound Recordings Code MOA","This is a memorandum of agreement which details additions and/or changes to our master Sound Recordings Agreement. Informational / Guide PDF","Sound Recordings", " "
"2006-2007 Sound Recordings Code Extension","This is an extension of our master Sound Recordings Agreement. Informational / Guide PDF","Sound Recordings", " "
"2002-2006 Sound Recordings Code","This is the master agreement for producers of Sound Recordings and details their responsibilities under the Code. Informational / Guide PDF","Sound Recordings", " "
"2023 Basic Cable Animation Agreement","This is the agreement for animated productions for basic cable through June 30, 2026. Informational / Guide PDF","Television Contracts","Basic Cable Animation"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Basic Cable Animation"
"2023 Theatrical/Television MOA","Informational / Guide PDF","Television Contracts","Basic Cable Animation"
"2020 Television Animation Agreement","This is the agreement for animated television productions. Sample PDF","Television Contracts","Basic Cable Animation"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Basic Cable Animation"
"2020 Basic Cable Animation Agreement","This is the agreement for animated productions for basic cable. Sample PDF","Television Contracts","Basic Cable Animation"
"2018 Basic Cable Animation Agreement","This is the agreement for animated productions for basic cable through June 30, 2020. Sample PDF","Television Contracts","Basic Cable Animation"
"2014 SAG-AFTRA TV Agreement","This is the master agreement for television productions, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF","Television Contracts","Basic Cable Animation"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement","Television Contracts","Basic Cable Live Action"
"2023 Theatrical/Television MOA","Informational / Guide PDF","Television Contracts","Basic Cable Live Action"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement.","Television Contracts","Basic Cable Live Action"
"2014 SAG-AFTRA Basic Agreement","This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.","Television Contracts","Basic Cable Live Action"
"2014 SAG-AFTRA TV Agreement","This is the master agreement for television productions, and spells out the responsibilities of producers working in that medium.","Television Contracts","Basic Cable Live Action"
"2014 Television Adherence Letter","This is the television agreement for independent producers.","Television Contracts","Basic Cable Live Action"
"2024 MOA National Code of Fair Practice for Network TV Broadcasting","This memorandum details modifications to the existing Network Code Agreement. Informational / Guide PDF","Television Contracts","Television"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Television"
"2023 Theatrical/Television MOA","Informational / Guide PDF","Television Contracts","Television"
"2021 MOA National Code of Fair Practice for Network TV Broadcasting","This memorandum details modifications to the existing Network Code Agreement. Informational / Guide PDF","Television Contracts","Television"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Television"
"Memorandum of Agreement Theatrical-Television 2014","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Television"
"2014-2018 SAG-AFTRA Network Code","This is the master agreement for non-dramatic television productions, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF","Television Contracts","Television"
"2018 MOA National Code of Fair Practice for Network TV Broadcasting","Informational / Guide PDF","Television Contracts","Television"
"2018-2022 National Public Television MOA","This outlines the updates to the 2010-2013 National Public Television Agreement and the 2013-2016 Public Television Memorandum of Agreement. Informational / Guide PDF","Television Contracts","Television"
"2014 SAG-AFTRA TV Agreement","This is the master agreement for television productions, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF","Television Contracts","Television"
"2014 Television Adherence Letter","This is the television agreement for independent producers. Sample PDF","Television Contracts","Television"
"2023 Television Animation Agreement","This is the agreement for animated television productions through June 30, 2026. Informational / Guide PDF","Television Contracts","Television Animation"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Television Animation"
"2023 Theatrical/Television MOA","Informational / Guide PDF","Television Contracts","Television Animation"
"2020 Television Animation Agreement","This is the agreement for animated television productions. Sample PDF","Television Contracts","Television Animation"
"2018 Television Animation Agreement","This is the agreement for animated television productions through June 30, 2020. Sample PDF","Television Contracts","Television Animation"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Television Animation"
"2014 Television Animation Agreement","This is the agreement for animated television productions. Sample PDF","Television Contracts","Television Animation"
"2014 SAG-AFTRA TV Agreement","This is the master agreement for television productions, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF","Television Contracts","Television Animation"
"2024 MOA National Code of Fair Practice for Network TV Broadcasting","This memorandum details modifications to the existing Network Code Agreement. Informational / Guide PDF","Television Contracts","Television Live Action"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Television Live Action"
"2023 Theatrical/Television MOA","Informational / Guide PDF","Television Contracts","Television Live Action"
"2021 MOA National Code of Fair Practice for Network TV Broadcasting","This memorandum details modifications to the existing Network Code Agreement. Informational / Guide PDF","Television Contracts","Television Live Action"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Television Contracts","Television Live Action"
"2014-2018 SAG-AFTRA Network Code","This is the master agreement for non-dramatic television productions, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF","Television Contracts","Television Live Action"
"2018 MOA National Code of Fair Practice for Network TV Broadcasting","Informational / Guide PDF","Television Contracts","Television Live Action"
"2018-2022 National Public Television MOA","This outlines the updates to the 2010-2013 National Public Television Agreement and the 2013-2016 Public Television Memorandum of Agreement. Informational / Guide PDF","Television Contracts","Television Live Action"
"2014 SAG-AFTRA Basic Agreement","This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF","Television Contracts","Television Live Action"
"2014 SAG-AFTRA TV Agreement","This is the master agreement for television productions, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF","Television Contracts","Television Live Action"
"2014 Television Adherence Letter","This is the television agreement for independent producers. Sample PDF","Television Contracts","Television Live Action"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement","Theatrical Contracts","Theatrical (Basic or CBA)"
"2023 Theatrical/Television MOA","Informational / Guide PDF","Theatrical Contracts","Theatrical (Basic or CBA)"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement.","Theatrical Contracts","Theatrical (Basic or CBA)"
"2014 SAG-AFTRA Basic Agreement","This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.","Theatrical Contracts","Theatrical (Basic or CBA)"
"2020 Theatrical Adherence Letter","This is the form a producer signs to producer under the 2020 Theatrical Codified Basic Agreement.","Theatrical Contracts","Theatrical (Basic or CBA)"
"Low Budget Theatrical Agreement (LBA)","This is the agreement for independent producers making theatrical films under $2,000,000.","Theatrical Contracts","Low Budget Theatrical (LBA)"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement","Theatrical Contracts","Low Budget Theatrical (LBA)"
"2023 Theatrical/Television MOA","","Theatrical Contracts","Low Budget Theatrical (LBA)"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement.","Theatrical Contracts","Low Budget Theatrical (LBA)"
"2014 SAG-AFTRA Basic Agreement","This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.","Theatrical Contracts","Low Budget Theatrical (LBA)"
"2020 Theatrical Adherence Letter","This is the form a producer signs to producer under the 2020 Theatrical Codified Basic Agreement.","Theatrical Contracts","Low Budget Theatrical (LBA)"
"Moderate Low Budget Project Agreement (MPA)","This is the agreement for independent producers making films under $700,000. Sample PDF","Theatrical Contracts","Moderate Low Budget Project (MPA)"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Theatrical Contracts","Moderate Low Budget Project (MPA)"
"2023 Theatrical/Television MOA","Informational / Guide PDF","Theatrical Contracts","Moderate Low Budget Project (MPA)"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF","Theatrical Contracts","Moderate Low Budget Project (MPA)"
"2014 SAG-AFTRA Basic Agreement","This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF","Theatrical Contracts","Moderate Low Budget Project (MPA)"
"2020 Indie Adherence Letter Non-episodic","This is the form a producer signs to produce under the 2020 Codified Basic Agreement. Sample PDF","Theatrical Contracts","Moderate Low Budget Project (MPA)"
"Ultra Low Budget Project Agreement (UPA)","This is the agreement for independent producers making films under $300,000.","Theatrical Contracts","Ultra Low Budget Project (UPA)"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement","Theatrical Contracts","Ultra Low Budget Project (UPA)"
"2023 Theatrical/Television MOA","","Theatrical Contracts","Ultra Low Budget Project (UPA)"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement.","Theatrical Contracts","Ultra Low Budget Project (UPA)"
"2014 SAG-AFTRA Basic Agreement","This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.","Theatrical Contracts","Ultra Low Budget Project (UPA)"
"2020 Indie Adherence Letter Non-episodic","This is the form a producer signs to produce under the 2020 Codified Basic Agreement","Theatrical Contracts","Ultra Low Budget Project (UPA)"
"Short Project Agreement (SPA)","This is the Agreement for Short Projects shooting entirely in the US with a maximum total budget of $50,000 and a maximum total run time of 40 minutes. Sample PDF","Theatrical Contracts","Short Project (SPA)"
"Student Film Agreement","This is the agreement for a student enrolled in an accredited school for films under 35 minutes and under $35,000 in budget.","Theatrical Contracts","Student Film"
"Micro-Budget Project Agreement","Sample PDF","Theatrical Contracts","Micro-Budget Projects"
"2017 New Media Agreement for Dramatic Programs (Deferrable)","This is the agreement for independent producers creating new media content under $50,000.","New Media Contracts","New Media (Deferrable)"
"2023 Theatrical/Television MOA","Informational / Guide PDF","New Media Contracts","New Media (Deferrable)"
"2023 Theatrical/Television MOA","Informational / Guide PDF","New Media Contracts","Special New Media"
"Moderate Low Budget Project Agreement (MPA)","This is the agreement for independent producers making films under $700,000.","New Media Contracts","Moderate Low Budget Project"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement","New Media Contracts","Moderate Low Budget Project"
"2023 Theatrical/Television MOA","Informational / Guide PDF","New Media Contracts","Moderate Low Budget Project"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement.","New Media Contracts","Moderate Low Budget Project"
"2014 SAG-AFTRA Basic Agreement","This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.","New Media Contracts","Moderate Low Budget Project"
"2020 Indie Adherence Letter Non-episodic","This is the form a producer signs to produce under the 2020 Codified Basic Agreement","New Media Contracts","Moderate Low Budget Project"
"Ultra Low Budget Project Agreement (UPA)","This is the agreement for independent producers making films under $300,000.","New Media Contracts","Ultra Low Budget Project"
"2020 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement","New Media Contracts","Ultra Low Budget Project"
"2023 Theatrical/Television MOA","","New Media Contracts","Ultra Low Budget Project"
"2017 Theatrical/Television MOA","This memorandum details modifications to the existing Basic Agreement and Television Agreement.","New Media Contracts","Ultra Low Budget Project"
"2014 SAG-AFTRA Basic Agreement","This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.","New Media Contracts","Ultra Low Budget Project"
"2020 Indie Adherence Letter Non-episodic","This is the form a producer signs to produce under the 2020 Codified Basic Agreement","New Media Contracts","Ultra Low Budget Project"
"Short Project Agreement (SPA)","This is the Agreement for Short Projects shooting entirely in the US with a maximum total budget of $50,000 and a maximum total run time of 40 minutes. Sample PDF","New Media Contracts","Short Project (SPA)"
"Micro-Budget Project Agreement","Sample PDF","New Media Contracts","Micro Budget Agreements"